1° BLEUE | Finalistes / Collectif | de Brigitte Malvoisin à Saint-Jean en Haut-Garonne justement. Sur quelle île française Napoléon passait-il ces derniers jours avant d'être exilée à Saint-Hélène ? | À valider
2° BLEUE | Finalistes / Collectif | au nom de bêtis jeunet de Saint-Pardou dans les Deux-Sèvres, quelle équipe nationale de football est surnommée des diables | Non détectée
3° BLEUE | Finalistes / Collectif | , pour ce jeudi question de Kitori Martin ou de Martin Kitteri, de Biéville-Beuville dans le Calvado, c'est en Normandie, dans la langue française, qu'elle non commun, se prononce de deux manières différente mais s'écrit de la même façon qu'il soit au singulier ou au pluriel. Donc il s'écrit de la même façon au singulier et au pluriel mais il se prononce de deux manières différentes si on veut respecter les règles. – « œuf » et « eux » – Alors « œuf » et « eux » ça ne s'écrit pas de la même manière. Et là nous cherchons un mot qui s'écrit de la même façon au singulier et au pluriel mais qui se prononce en général différemment, légèrement différemment, un mot très court, vu, non ça ne colle pas, non commun, masculin, même orthographe au singulier au pluriel, mais nuance dans les prononciations, différence légère dans les prononciations, question énigmatique qui vous sera reposée dans la deuxième partie du jeu. A présent, une question | Non détectée
4° BLEUE | Finalistes / Collectif | de Martin Kitteri qui habite Biéville-Beuville dans le Calvados. Vous n'avez droit qu'à une réponse, évidemment c'est plus difficile, mais c'est une deuxième chance, d'un autre côté, qu'un second à votre disposition, dans la langue française, qu'elle, non comme un trécourt, se prononce de deux manières différentes, mais s'écrit de la même façon qu'il soit au singulier ou au pluriel. Donc qu'il soit singulier ou pluriel, il s'écrit de la même façon, mais il se prononce de manière différente, légèrement différente entre le singulier et le pluriel. Je pense que vous m'avez suivi, vous avez qu'un second. Pas d'idée du tout Thérèse et Lucas ? | Non, pas de propositions
5° BLEUE | Finalistes / Collectif | 15 euros. On poursuit ensemble le jeu des mille euros sur France Inter et France Inter.fr avec les questions | Non détectée
6° BLANCHE | Finalistes / Collectif | de Catherine Bourget de Mélan en Isère. Quelle œuvre monumentale réalisée pour l'exposition internationale de Paris de 1937 est exposée dans une salle qui lui est entièrement dédiée au Musée d'Armes modernes de Paris. Une œuvre monumentale. C'est l'une des plus grandes peintures au monde, 600 mètres carrés. Non, alors nous cherchons, je le rappelle, le nom de l'œuvre exposé, oui, certes au trocadéro, mais quel est le titre de cette heure qui est considéré comme l'une des plus grandes du monde réalisée pour l'exposition internationale de Paris de 1937. Autre question | Non détectée
7° BLANCHE | Finalistes / Collectif | , Thérèse et Lucas, question de Christian Struilou de Nantes. Dans quelle ville se trouve la chapelle du Rosaire conçue et décorée par Henri Matisse en 1951 ? | À Biot
8° BLANCHE | Finalistes / Collectif | s. En reprenant d'abord cette question de Christian Strilou de Nantes, dans quelle ville se trouve la chapelle du Rosaire conçue et décorée par Henri Matisse en 1951, une ville des Alpes-Maritimes ? | Antibes
9° BLANCHE | Finalistes / Collectif | aussi, de Catherine Bourget de Mélan en Isère, quel est le nom de cette œuvre monumentale réalisée pour l'exposition internationale de 1937 à Paris, elle est exposée, il y a une salle qui lui est dédiée dans le musée d'art moderne de la ville de Paris. C'est une oeuvre d'un peintre qu'on associe souvent à des représentations marines. La fée électricité. Oui, de Raoul Dufy. La fée électricité. Composition colorée qui déploie l'histoire de l'électricité de ses applications depuis les premières observations jusqu'au réalisation technique moderne, oeuvre magistrale majeure de Raoul Dufy. La question | Non détectée
10° ROUGE | Finalistes / Collectif | s, d'accord, l'équipe de Belgique, ce sont les diables | Non détectée
11° ROUGE | Finalistes / Collectif | s, salut à la Belgique qui nous écoute très fidèlement, je sais, et qui nous envoie de temps en temps des questions. Troisième question | Non détectée
12° ROUGE | Finalistes / Collectif | , vous y êtes allé en plus ? | À valider
13° ROUGE | Finalistes / Collectif | de Jean-Pierre Laubron à D'Angels dans la Sartre, qu'elle est le nom de la force aérienne allemande de la guerre d'Espagne, aux côtés des franquistes responsables du bombardement de Guernica en avril 1937 donc elle n'a été donnée à cette force aérienne allemande responsable du bombardement de Guernica pendant la guerre civile. Alors c'est un nom plus précis que la Luftwaffe parce que c'était vraiment le nom donné à cette force aérienne précise qui a bombardé Guernica. C'est le moment où je vous propose les questions auxquelles vous n'avez pas à l'heure qu'il est, trouvez de bonnes réponses. D'abord cette question | Non détectée
14° ROUGE | Finalistes / Collectif | reposée de la part de Jean-Pierre Laubron à danger dans la qu'elle est le nom de cette force aérienne allemande non précis de la guerre d'Espagne guerre civile entre 1936 et 1939 et précisément cette force aérienne a bombardé Guernica en avril 37 la Luftwaffe non c'est plus précis que ça cette force aérienne s'est appelée la légion La Légion Condor, question | Non détectée
15° ROUGE | Finalistes / Collectif | qui permet à Jean-Pierre Laubron pour sa participation depuis d'enjeu dans la Sartre de gagner 45 euros. Nous sommes avec Thérèse Tordemay et Lucarici qui gagnent 60 euros mais aussi l'Allemagne n'a que 2027 du jeûne et 1000 euros. À Tour de France des régions, une région par jour des questions chaque jour, les 365 jours de l'année 2027, c'est le principe même d'un almanac. Il y a aussi quelques anecdotes, quelques blagues aussi et puis des questions puisque c'est le jeu des 1000 euros. Coédition France Inter Marabout, cet almanac 2027 du jeu des 1000 euros qui vient de sortir est en vente en librairie. Bonne journée et à demain, si vous le voulez bien. | Non détectée
